regione,popolazione,eta,eta_class,eta_class2
Veneto,46717,14,"[10,20)",0-15
Friuli Venezia Giulia,10511,14,"[10,20)",0-15
Emilia-Romagna,40843,14,"[10,20)",0-15
Toscana,33165,14,"[10,20)",0-15
Umbria,7948,14,"[10,20)",0-15
Marche,13666,14,"[10,20)",0-15
Lazio,53249,14,"[10,20)",0-15
Abruzzo,11488,14,"[10,20)",0-15
Molise,2548,14,"[10,20)",0-15
Campania,61704,14,"[10,20)",0-15
Puglia,38866,14,"[10,20)",0-15
Basilicata,4920,14,"[10,20)",0-15
Calabria,18079,14,"[10,20)",0-15
Piemonte,38113,15,"[10,20)",0-15
Valle d'Aosta,1175,15,"[10,20)",0-15
Liguria,12648,15,"[10,20)",0-15
Lombardia,96079,15,"[10,20)",0-15
Trentino Alto Adige / Südtirol,11529,15,"[10,20)",0-15
P.A. Bolzano,5792,15,"[10,20)",0-15
P.A. Trento,5737,15,"[10,20)",0-15
Veneto,47337,15,"[10,20)",0-15
Friuli Venezia Giulia,10580,15,"[10,20)",0-15
Emilia-Romagna,40458,15,"[10,20)",0-15
Toscana,33144,15,"[10,20)",0-15
Umbria,7743,15,"[10,20)",0-15
Marche,13700,15,"[10,20)",0-15
Lazio,53681,15,"[10,20)",0-15
Campania,63793,15,"[10,20)",0-15
Puglia,40267,15,"[10,20)",0-15
Sardegna,13266,15,"[10,20)",0-15
Abruzzo,11594,15,"[10,20)",0-15
Molise,2566,15,"[10,20)",0-15
Basilicata,5246,15,"[10,20)",0-15
Calabria,18665,15,"[10,20)",0-15
Sicilia,50626,15,"[10,20)",0-15
Liguria,12429,16,"[10,20)",16-19
Abruzzo,11513,16,"[10,20)",16-19
Molise,2603,16,"[10,20)",16-19
Campania,64520,16,"[10,20)",16-19
Puglia,40598,16,"[10,20)",16-19
Basilicata,5289,16,"[10,20)",16-19
Calabria,18700,16,"[10,20)",16-19
Sicilia,50616,16,"[10,20)",16-19
Piemonte,38254,16,"[10,20)",16-19
Valle d'Aosta,1182,16,"[10,20)",16-19
Lombardia,94090,16,"[10,20)",16-19
Trentino Alto Adige / Südtirol,11261,16,"[10,20)",16-19
P.A. Bolzano,5760,16,"[10,20)",16-19
P.A. Trento,5501,16,"[10,20)",16-19
Veneto,46459,16,"[10,20)",16-19
Friuli Venezia Giulia,10517,16,"[10,20)",16-19
Emilia-Romagna,39494,16,"[10,20)",16-19
Toscana,32348,16,"[10,20)",16-19
Umbria,7656,16,"[10,20)",16-19
Marche,13552,16,"[10,20)",16-19
Lazio,53171,16,"[10,20)",16-19
Sardegna,13754,16,"[10,20)",16-19
Piemonte,37717,17,"[10,20)",16-19
Valle d'Aosta,1115,17,"[10,20)",16-19
Liguria,12778,17,"[10,20)",16-19
Lombardia,92846,17,"[10,20)",16-19
Trentino Alto Adige / Südtirol,11164,17,"[10,20)",16-19
P.A. Bolzano,5615,17,"[10,20)",16-19
P.A. Trento,5549,17,"[10,20)",16-19
Veneto,45949,17,"[10,20)",16-19
Friuli Venezia Giulia,10384,17,"[10,20)",16-19
Emilia-Romagna,39815,17,"[10,20)",16-19
Toscana,32589,17,"[10,20)",16-19
Umbria,7668,17,"[10,20)",16-19
Marche,13682,17,"[10,20)",16-19
Lazio,52271,17,"[10,20)",16-19
Puglia,40771,17,"[10,20)",16-19
Sardegna,13537,17,"[10,20)",16-19
Abruzzo,11386,17,"[10,20)",16-19
Molise,2672,17,"[10,20)",16-19
Campania,64111,17,"[10,20)",16-19
Basilicata,5466,17,"[10,20)",16-19
Calabria,18573,17,"[10,20)",16-19
Sicilia,50895,17,"[10,20)",16-19
Veneto,45918,18,"[10,20)",16-19
Friuli Venezia Giulia,10586,18,"[10,20)",16-19
Emilia-Romagna,39910,18,"[10,20)",16-19
Toscana,32647,18,"[10,20)",16-19
Umbria,7600,18,"[10,20)",16-19
Marche,13658,18,"[10,20)",16-19
Lazio,52733,18,"[10,20)",16-19
Abruzzo,11793,18,"[10,20)",16-19
Molise,2740,18,"[10,20)",16-19
Campania,65819,18,"[10,20)",16-19
Puglia,42045,18,"[10,20)",16-19
Basilicata,5529,18,"[10,20)",16-19
Calabria,19403,18,"[10,20)",16-19
Sicilia,52375,18,"[10,20)",16-19
Sardegna,13883,18,"[10,20)",16-19
Piemonte,38009,18,"[10,20)",16-19
Valle d'Aosta,1183,18,"[10,20)",16-19
Liguria,12942,18,"[10,20)",16-19
Lombardia,94438,18,"[10,20)",16-19
Trentino Alto Adige / Südtirol,11496,18,"[10,20)",16-19
P.A. Bolzano,5886,18,"[10,20)",16-19
P.A. Trento,5610,18,"[10,20)",16-19
Piemonte,39639,19,"[10,20)",16-19
Valle d'Aosta,1226,19,"[10,20)",16-19
Liguria,13239,19,"[10,20)",16-19
Lombardia,96559,19,"[10,20)",16-19
Trentino Alto Adige / Südtirol,11772,19,"[10,20)",16-19
P.A. Bolzano,6008,19,"[10,20)",16-19
P.A. Trento,5764,19,"[10,20)",16-19
Veneto,47924,19,"[10,20)",16-19
Friuli Venezia Giulia,10944,19,"[10,20)",16-19
Emilia-Romagna,40826,19,"[10,20)",16-19
Toscana,33175,19,"[10,20)",16-19
Umbria,7825,19,"[10,20)",16-19
Marche,14274,19,"[10,20)",16-19
